column,latitude,longitude
Egyptian,33.77862640203511,-118.19415093501372
Egyptian,33.77602432319314,-118.19394357185115
Egyptian,33.78016268308582,-118.19391457805915
Egyptian,33.776442158593824,-118.19405575594594
Egyptian,33.775821387817075,-118.19257924726884
Egyptian,33.77601085053837,-118.19282470184812
Egyptian,33.78069765894903,-118.19480314511198
Egyptian,33.77937325154057,-118.19287852885333
Egyptian,33.77941111736558,-118.19348482246235
Egyptian,33.76361690664722,-118.15107922549322
Egyptian,33.7652218454713,-118.1452312973687
Egyptian,33.94524657401976,-118.32012086133523
Egyptian,33.955052356907366,-118.32291906840399
Egyptian,33.963642776739206,-118.36896044252543
Egyptian,33.961004708800736,-118.36475460003986
Egyptian,33.923924160987895,-118.34693857369524
Egyptian,33.92245010234483,-118.34447344960319
Egyptian,33.92498742900387,-118.36648651646506
Egyptian,33.92592340853468,-118.36339362252002
Egyptian,33.90194330444869,-118.33222892373261
Egyptian,33.88711686942468,-118.32881667672923
Egyptian,33.87970985458959,-118.33721036494848
Egyptian,33.883182975777856,-118.33686951735658
Egyptian,33.900266459820976,-118.34920690489129
Egyptian,33.89905049915422,-118.35603816139403
Egyptian,33.89675542278582,-118.35772991058525
Egyptian,33.87925984830196,-118.34668232724184
Egyptian,33.87714573693459,-118.3485734199944
Egyptian,33.86758497726626,-118.38334709194626
Egyptian,33.879910613499426,-118.38146181261108
Egyptian,33.87349445928699,-118.38156061247388
Egyptian,33.88154938352389,-118.38392641792724
Egyptian,33.87721724036247,-118.3872991069785
Egyptian,33.87482966853805,-118.38552784191282
Egyptian,33.8697910222186,-118.39940052135731
Egyptian,33.8477656090976,-118.39258355039156
Egyptian,33.83987085557111,-118.3472545988033
Egyptian,33.843275209402385,-118.35258181623418
Egyptian,33.847511576653595,-118.35070342757581
Egyptian,33.79050485163751,-118.3093714500041
Egyptian,33.772686069707504,-118.38452822838006
Egyptian,33.747983720969,-118.38940389025416
Egyptian,33.74847693885351,-118.39122824477907
Egyptian,33.748829781994296,-118.37285901989213
Egyptian,34.09377497094733,-118.34833134068275
Egyptian,34.09158642579664,-118.34673929790156
Egyptian,34.091439952891406,-118.35888228010764
Egyptian,34.09484338363651,-118.37224533185766
Egyptian,34.03880036715179,-118.47473844488346
Egyptian,34.02271539289556,-118.47403155733973
Egyptian,34.02100455181566,-118.47760744217744
Egyptian,34.024148702332056,-118.47647737750201
Egyptian,33.97933911314099,-118.38629300056188
Egyptian,34.1408613860732,-118.83144947658036
Egyptian,34.58947414653609,-118.17885140812513
Egyptian,34.59338654662733,-118.17860877775331
Egyptian,34.59362489715916,-118.1723199853373
Egyptian,34.60088958605684,-118.17080907107734
Egyptian,34.593910035162814,-118.17825321717662
Egyptian,34.58477680005603,-118.18371076448943
Egyptian,34.59917880143232,-118.17755254680425
Egyptian,34.587220065411046,-118.17240053203001
Egyptian,34.593074076147104,-118.18061265120677
Egyptian,34.59495014013045,-118.17448316994302
Egyptian,34.636410728179094,-118.23172437513539
Egyptian,34.63695035142425,-118.22811863890271
Egyptian,34.43746296233136,-118.49930353462183
Egyptian,34.43810284584171,-118.57158131102328
Egyptian,34.45504410029081,-118.56880095574739
Egyptian,34.45566059503576,-118.5633173331978
